Date	Harvest 	Plot	Cultivar	Water	Block	TotalDM
22-Dec-14	Intermediate	220	Dash	Low	4	5982.3
22-Dec-14	Intermediate	221	Dash	High	4	10287.49
22-Dec-14	Intermediate	222	Omaka	High	4	10008.18
22-Dec-14	Intermediate	223	Dash	Med	4	7381
22-Dec-14	Intermediate	224	Omaka	Med	4	6175.43
15-Jan-15	Intermediate	201	Dash	Med	1	12320.57
15-Jan-15	Intermediate	202	Omaka	High	1	15913.96
15-Jan-15	Intermediate	203	Omaka	Med	1	12813.48
15-Jan-15	Intermediate	204	Dash	Low	1	11542.2
15-Jan-15	Intermediate	205	Omaka	Low	1	12023.56
15-Jan-15	Intermediate	206	Dash	High	1	17394.1
15-Jan-15	Intermediate	207	Dash	Med	2	13312.48
15-Jan-15	Intermediate	208	Omaka	High	2	16811.22
15-Jan-15	Intermediate	209	Dash	Low	2	11812.09
15-Jan-15	Intermediate	210	Omaka	Low	2	12982.23
15-Jan-15	Intermediate	211	Dash	High	2	20575.55
15-Jan-15	Intermediate	212	Omaka	Med	2	14494.62
15-Jan-15	Intermediate	213	Omaka	High	3	19160.26
15-Jan-15	Intermediate	214	Omaka	Med	3	14385.12
15-Jan-15	Intermediate	215	Dash	High	3	19642.91
15-Jan-15	Intermediate	216	Omaka	Low	3	12487.82
15-Jan-15	Intermediate	217	Dash	Low	3	10819.7
15-Jan-15	Intermediate	218	Dash	Med	3	15203.87
15-Jan-15	Intermediate	219	Omaka	Low	4	11050.6
15-Jan-15	Intermediate	220	Dash	Low	4	12186.81
15-Jan-15	Intermediate	221	Dash	High	4	18372.15
15-Jan-15	Intermediate	222	Omaka	High	4	22715.22
15-Jan-15	Intermediate	223	Dash	Med	4	15145.17
15-Jan-15	Intermediate	224	Omaka	Med	4	13788.57
11-Feb-15	Final	201	Dash	Med	1	11877.32
11-Feb-15	Final	202	Omaka	High	1	18729.72
11-Feb-15	Final	203	Omaka	Med	1	12761.1
28-Jan-15	Final	204	Dash	Low	1	12784.91
28-Jan-15	Final	205	Omaka	Low	1	16417.14
11-Feb-15	Final	206	Dash	High	1	21585.88
11-Feb-15	Final	207	Dash	Med	2	13711.46
11-Feb-15	Final	208	Omaka	High	2	19582.46
28-Jan-15	Final	209	Dash	Low	2	13747.91
28-Jan-15	Final	210	Omaka	Low	2	14546.04
11-Feb-15	Final	211	Dash	High	2	22820.85
11-Feb-15	Final	212	Omaka	Med	2	13625.3
11-Feb-15	Final	213	Omaka	High	3	20051.21
11-Feb-15	Final	214	Omaka	Med	3	14882.27
11-Feb-15	Final	215	Dash	High	3	24088.34
28-Jan-15	Final	216	Omaka	Low	3	13524.4
28-Jan-15	Final	217	Dash	Low	3	13340.05
11-Feb-15	Final	218	Dash	Med	3	13954.57
28-Jan-15	Final	219	Omaka	Low	4	12036.88
28-Jan-15	Final	220	Dash	Low	4	12503.78
11-Feb-15	Final	221	Dash	High	4	26869.21
11-Feb-15	Final	222	Omaka	High	4	24652.14
11-Feb-15	Final	223	Dash	Med	4	15191.25
11-Feb-15	Final	224	Omaka	Med	4	14639.74
